id,image,icon,name,class,manufacturer,weapon,element,burst,squad
iDoll Sun,,,iDoll Sun,Supporter,Tetra,Assault Rifle,Iron,3,Replace
Isabel,,,Isabel,Attacker,Pilgrim,Shotgun,Electric,3,Inherit
Jackal,images/Jackal.jpg,images/JackalIcon.jpg,Jackal,Defender,Missilis,Rocket Launcher,Iron,1,Exotic
Julia,,,Julia,Attacker,Missilis,Assault Rifle,Iron,3,Master Hand
K,,,K,Attacker,Elysion,Submachine Gun,Electric,3,Perilous Siege
Kilo,,,Kilo,Defender,Missilis,Machine Gun,Fire,3,Heavy Gram
Label,,,Label,Defender,Elysion,Assault Rifle,Iron,1,Best Seller
Laplace,images/Laplace.jpg,images/LaplaceIcon.jpg,Laplace,Attacker,Missilis,Rocket Launcher,Iron,3,Matis
Leona,,,Leona,Supporter,Tetra,Shotgun,Water,2,Happy Zoo
Liberalio,,,Liberalio,Attacker,Pilgrim,Sniper Rifle,Wind,3,Heretic
Liter,images/Liter.jpg,images/LiterIcon.jpg,Liter,Supporter,Missilis,Submachine Gun,Iron,1,Mighty Tools
Little Mermaid,,,Little Mermaid,Supporter,Pilgrim,Submachine Gun,Wind,1,Old Tales
Ludmilla,,,Ludmilla,Defender,Tetra,Submachine Gun,Water,1,Unlimited
Maiden,,,Maiden,Attacker,Elysion,Shotgun,Electric,3,Extrinsic
Mana,,,Mana,Attacker,Missilis,Assault Rifle,Wind,3,M.M.R.
Marciana,,,Marciana,Supporter,Elysion,Shotgun,Iron,2,Academia
Mary,,,Mary,Supporter,Tetra,Shotgun,Water,1,Seraphim
Mast,,,Mast,Supporter,Elysion,Submachine Gun,Electric,2,Aegis
Maxwell,images/Maxwell.jpg,images/MaxwellIcon.jpg,Maxwell,Attacker,Missilis,Sniper Rifle,Iron,3,Matis
Mica,,,Mica,Supporter,Tetra,Rocket Launcher,Wind,1,The Carronades
Mihara,,,Mihara,Attacker,Missilis,Assault Rifle,Water,3,Wardress
Milk,images/Milk.jpg,images/MilkIcon.jpg,Milk,Attacker,Tetra,Sniper Rifle,Water,1,Cafe Sweety
Mint,,,Mint,Supporter,Pilgrim,Rocket Launcher,Iron,2,T.T. STAR
Miranda,,,Miranda,Supporter,Elysion,Submachine Gun,Fire,1,A.C.P.U.
Modernia,,,Modernia,Attacker,Pilgrim,Machine Gun,Fire,3,Heretic
Moran,,,Moran,Defender,Tetra,Assault Rifle,Electric,1,Underworld Queen
Mori,,,Mori,Defender,Missilis,Assault Rifle,Wind,2,Incubator
N102,,,N102,Supporter,Missilis,Rocket Launcher,Water,1,Recall & Release
Naga,,,Naga,Supporter,Missilis,Shotgun,Electric,2,Dazzling Pearl
Nayuta,,,Nayuta,Supporter,Pilgrim,Submachine Gun,Wind,2,Pioneer
Neon,images/Neon.jpg,images/NeonIcon.jpg,Neon,Supporter,Elysion,Shotgun,Fire,1,Counters
Nero,,,Nero,Defender,Tetra,Submachine Gun,Fire,2,Happy Zoo
Neve,,,Neve,Attacker,Tetra,Shotgun,Water,3,Unlimited
Nihilister,,,Nihilister,Attacker,Pilgrim,Sniper Rifle,Fire,2,Heretic
Noah,,,Noah,Defender,Pilgrim,Rocket Launcher,Wind,2,Inherit
Noir,,,Noir,Attacker,Tetra,Shotgun,Wind,3,777
Noise,,,Noise,Supporter,Tetra,Rocket Launcher,Electric,1,Prima Donna
Novel,,,Novel,Defender,Tetra,Submachine Gun,Iron,2,Protocol
Pepper,,,Pepper,Supporter,Missilis,Shotgun,Wind,1,Seraphim
Phantom,,,Phantom,Attacker,Elysion,Assault Rifle,Water,3,Best Seller
Poli,,,Poli,Defender,Elysion,Shotgun,Water,2,A.C.P.U.
Prika,,,Prika,Supporter,Tetra,Sniper Rifle,Water,2,T.T. STAR
Privaty,,,Privaty,Attacker,Elysion,Assault Rifle,Water,3,Triangle
Product 08,,,Product 08,Supporter,Missilis,Sniper Rifle,Electric,1,Replace
Product 12,,,Product 12,Attacker,Missilis,Machine Gun,Fire,3,Replace
Product 23,,,Product 23,Supporter,Missilis,Shotgun,Wind,2,Replace
Quency,images/Quency.jpg,images/QuencyIcon.jpg,Quency,Supporter,Missilis,Submachine Gun,Electric,2,Real Kindness
Quiry,,,Quiry,Supporter,Elysion,Rocket Launcher,Wind,3,A.C.P.U.
Rapi,images/Rapi.jpg,images/RapiIcon.jpg,Rapi,Attacker,Elysion,Assault Rifle,Fire,3,Counters
Rapunzel,,,Rapunzel,Supporter,Pilgrim,Rocket Launcher,Iron,1,Pioneer
Red Hood,,,Red Hood,Attacker,Pilgrim,Sniper Rifle,Iron,p,Goddess
Rei,,,Rei,Defender,Tetra,Submachine Gun,Water,1,School Circle
Rosanna,,,Rosanna,Attacker,Tetra,Machine Gun,Electric,1,Underworld Queen
Rouge,,,Rouge,Supporter,Tetra,Sniper Rifle,Electric,1,777
Rumani,,,Rumani,Defender,Tetra,Rocket Launcher,Fire,1,Nepenthe
Rupee,,,Rupee,Attacker,Tetra,Assault Rifle,Iron,2,Talentum
Sakura,,,Sakura,Supporter,Tetra,Sniper Rifle,Fire,1,Underworld Queen
Scarlet,images/Scarlet.jpg,images/ScarletIcon.jpg,Scarlet,Attacker,Pilgrim,Assault Rifle,Electric,3,Pioneer
Signal,,,Signal,Attacker,Elysion,Submachine Gun,Fire,2,The Scouts
Sin,images/Sin.jpg,images/SinIcon.jpg,Sin,Defender,Missilis,Assault Rifle,Electric,2,Real Kindness
Snow White,images/Snow White.jpg,images/Snow WhiteIcon.jpg,Snow White,Attacker,Pilgrim,Assault Rifle,Iron,3,Pioneer
Soda,,,Soda,Supporter,Tetra,Machine Gun,Fire,1,Maid For You
Soldier EG,,,Soldier EG,Attacker,Elysion,Assault Rifle,Electric,3,Replace
Soldier FA,,,Soldier FA,Defender,Elysion,Shotgun,Iron,2,Replace
Soldier OW,,,Soldier OW,Supporter,Elysion,Submachine Gun,Fire,1,Replace
Soline,images/Soline.jpg,images/SolineIcon.jpg,Soline,Attacker,Elysion,Submachine Gun,Iron,3,Infinity Rail
Soline,,,Soline,,,,,,
Sora,,,Sora,Supporter,Elysion,Rocket Launcher,Wind,1,Over the Horizen
Sugar,images/Sugar.jpg,images/SugarIcon.jpg,Sugar,Attacker,Tetra,Shotgun,Iron,3,Cafe Sweety
Tia,,,Tia,Defender,Missilis,Rocket Launcher,Iron,1,Dazzling Pearl
Tove,,,Tove,Supporter,Missilis,Assault Rifle,Water,1,Unlimited
Trina,,,Trina,Supporter,Missilis,Rocket Launcher,Electric,2,Botanic Garden
Trony,,,Trony,Attacker,Missilis,Sniper Rifle,Fire,3,Electric Shock
Velvet,,,Velvet,Supporter,Tetra,Sniper Rifle,Wind,2,Maid For You
Vesti,,,Vesti,Attacker,Elysion,Rocket Launcher,Water,3,Absolute
Viper,,,Viper,Attacker,Tetra,Shotgun,Water,2,Exotic
Volume,images/Volume.jpg,images/VolumeIcon.jpg,Volume,Supporter,Tetra,Submachine Gun,Wind,1,Prima Donna
Yan,,,Yan,Supporter,Tetra,Rocket Launcher,Fire,1,Talentum
Yulha,,,Yulha,Attacker,Tetra,Sniper Rifle,Fire,3,Triangle
Yuni,,,Yuni,Defender,Missilis,Rocket Launcher,Fire,2,Wardress
Zwei,,,Zwei,Supporter,Elysion,Shotgun,Electric,1,School Circle
